latitude;longitude;altitude;;;;
54.5758766667,;-1.2370866667,;85;;;;
54.5758433333,;-1.2370883333,;83;;;;
54.57581,;-1.23709,;83;;;;
54.5757733333,;-1.2371033333,;83;;;;
54.575745,;-1.2371133333,;84;;;;
54.5757166667,;-1.2371283333,;84;;;;
54.5756883333,;-1.23714,;84;;;;
54.57566,;-1.23715,;84;;;;
54.575635,;-1.2371516667,;83;;;;
54.5756133333,;-1.2371516667,;83;;;;
54.5755916667,;-1.23715,;83;;;;
54.57557,;-1.2371466667,;83;;;;
54.5755433333,;-1.2371516667,;87;;;;
54.5755216667,;-1.23715,;87;;;;
54.5755016667,;-1.2371416667,;88;;;;
54.5754833333,;-1.2371366667,;88;;;;
54.5754616667,;-1.2371383333,;89;;;;
54.5754366667,;-1.2371416667,;89;;;;
54.5754116667,;-1.2371533333,;89;;;;
54.5753866667,;-1.2371633333,;91;;;;
54.5753616667,;-1.2371716667,;92;;;;
54.575335,;-1.2371833333,;87;;;;
54.575315,;-1.237195,;88;;;;
54.575295,;-1.2372033333,;88;;;;
54.5752733333,;-1.2372133333,;88;;;;
54.5752516667,;-1.2372166667,;88;;;;
54.5752333333,;-1.2372216667,;89;;;;
54.575215,;-1.2372233333,;89;;;;
54.575195,;-1.2372283333,;88;;;;
54.5751783333,;-1.2372316667,;88;;;;
54.57516,;-1.23723,;92;;;;
54.575145,;-1.2372316667,;127;;;;
54.57513,;-1.237235,;131;;;;
54.5751133333,;-1.237235,;131;;;;
54.5751,;-1.237245,;131;;;;
54.575075,;-1.23728,;135;;;;
54.5750616667,;-1.23729,;138;;;;
54.57506,;-1.23729,;140;;;;
54.5750516667,;-1.2373,;140;;;;
54.575055,;-1.2373116667,;136;;;;
54.5750583333,;-1.2373016667,;100;;;;
54.5750616667,;-1.2373,;96;;;;
54.5750633333,;-1.2373,;96;;;;
54.5750683333,;-1.2372933333,;95;;;;
54.575075,;-1.2372883333,;95;;;;
54.57509,;-1.2372883333,;94;;;;
54.5750983333,;-1.237285,;94;;;;
54.5751066667,;-1.237275,;94;;;;
54.5751166667,;-1.2372683333,;90;;;;
54.57513,;-1.2372666667,;90;;;;
54.5751383333,;-1.237265,;88;;;;
54.5751416667,;-1.237265,;88;;;;
54.57515,;-1.2372566667,;85;;;;
54.57516,;-1.237255,;84;;;;
54.5751683333,;-1.237245,;84;;;;
54.5751783333,;-1.237235,;83;;;;
54.575205,;-1.2372466667,;83;;;;
54.5752316667,;-1.2372533333,;83;;;;
54.5752566667,;-1.237255,;84;;;;
54.5752783333,;-1.2372533333,;84;;;;
54.5752983333,;-1.2372566667,;84;;;;
54.575315,;-1.2372666667,;83;;;;
54.57533,;-1.2372683333,;82;;;;
54.5753383333,;-1.2372716667,;82;;;;
